月份,日期,當月股價,投入金額,買入股數,累積股數,目前持有價值
1,2011-04-01,8705.13,8705.13,1,1,8705.13
2,2011-05-03,8946.08,8946.08,1,2,17892.16
3,2011-06-01,9062.35,9062.35,1,3,27187.05
4,2011-07-01,8739.82,8739.82,1,4,34959.28
5,2011-08-01,8701.38,8701.38,1,5,43506.9
6,2011-09-01,7757.76,7757.76,1,6,46546.56
7,2011-10-03,7013.97,7013.97,1,7,49097.79
8,2011-11-01,7622.01,7622.01,1,8,60976.08
9,2011-12-01,7178.69,7178.69,1,9,64608.21
10,2012-01-02,6952.21,6952.21,1,10,69522.1
11,2012-02-01,7549.21,7549.21,1,11,83041.31
12,2012-03-01,8118.34,8118.34,1,12,97420.08
13,2012-04-02,7862.9,7862.9,1,13,102217.7
14,2012-05-02,7676.81,7676.81,1,14,107475.34
15,2012-06-01,7106.09,7106.09,1,15,106591.35
16,2012-07-02,7345.16,7345.16,1,16,117522.56
17,2012-08-01,7267.96,7267.96,1,17,123555.32
18,2012-09-03,7450.53,7450.53,1,18,134109.54
19,2012-10-01,7675.72,7675.72,1,19,145838.68
20,2012-11-01,7179.64,7179.64,1,20,143592.8
21,2012-12-03,7599.91,7599.91,1,21,159598.11
22,2013-01-02,7779.22,7779.22,1,22,171142.84
23,2013-02-01,7855.97,7855.97,1,23,180687.31
24,2013-03-01,7964.63,7964.63,1,24,191151.12
25,2013-04-01,7899.24,7899.24,1,25,197481.0
26,2013-05-02,8128.51,8128.51,1,26,211341.26
27,2013-06-03,8201.02,8201.02,1,27,221427.54
28,2013-07-01,8036.0,8036.0,1,28,225008.0
29,2013-08-01,8056.22,8056.22,1,29,233630.38
30,2013-09-02,8038.86,8038.86,1,30,241165.8
31,2013-10-01,8187.02,8187.02,1,31,253797.62
32,2013-11-01,8388.18,8388.18,1,32,268421.76
33,2013-12-02,8414.61,8414.61,1,33,277682.13
34,2014-01-02,8612.54,8612.54,1,34,292826.36
35,2014-02-05,8264.48,8264.48,1,35,289256.8
36,2014-03-03,8601.98,8601.98,1,36,309671.28
37,2014-04-01,8873.15,8873.15,1,37,328306.55
38,2014-05-02,8867.32,8867.32,1,38,336958.16
39,2014-06-03,9123.46,9123.46,1,39,355814.94
40,2014-07-01,9441.92,9441.92,1,40,377676.8
41,2014-08-01,9266.51,9266.51,1,41,379926.91
42,2014-09-01,9513.06,9513.06,1,42,399548.52
43,2014-10-01,8990.26,8990.26,1,43,386581.18
44,2014-11-03,9004.86,9004.86,1,44,396213.84
45,2014-12-01,9117.71,9117.71,1,45,410296.95
46,2015-01-05,9274.11,9274.11,1,46,426609.06
47,2015-02-02,9386.99,9386.99,1,47,441188.53
48,2015-03-02,9601.36,9601.36,1,48,460865.28
49,2015-04-01,9507.66,9507.66,1,49,465875.34
50,2015-05-04,9845.04,9845.04,1,50,492252.0
51,2015-06-01,9625.69,9625.69,1,51,490910.19
52,2015-07-01,9375.23,9375.23,1,52,487511.96
53,2015-08-03,8524.41,8524.41,1,53,451793.73
54,2015-09-01,8017.56,8017.56,1,54,432948.24
55,2015-10-01,8295.94,8295.94,1,55,456276.7
56,2015-11-02,8614.77,8614.77,1,56,482427.12
57,2015-12-01,8463.3,8463.3,1,57,482408.1
58,2016-01-04,8114.26,8114.26,1,58,470627.08
59,2016-02-01,8156.96,8156.96,1,59,481260.64
60,2016-03-01,8485.69,8485.69,1,60,509141.4
61,2016-04-01,8657.55,8657.55,1,61,528110.55
62,2016-05-03,8294.12,8294.12,1,62,514235.44
63,2016-06-01,8597.16,8597.16,1,63,541621.08
64,2016-07-01,8738.24,8738.24,1,64,559247.36
65,2016-08-01,9080.71,9080.71,1,65,590246.15
66,2016-09-01,9001.15,9001.15,1,66,594075.9
67,2016-10-03,9234.2,9234.2,1,67,618691.4
68,2016-11-01,9272.7,9272.7,1,68,630543.6
69,2016-12-01,9263.53,9263.53,1,69,639183.57
70,2017-01-03,9272.88,9272.88,1,70,649101.6
71,2017-02-02,9428.97,9428.97,1,71,669456.87
72,2017-03-01,9674.78,9674.78,1,72,696584.16
73,2017-04-05,9949.48,9949.48,1,73,726312.04
74,2017-05-02,9941.27,9941.27,1,74,735653.98
75,2017-06-01,10087.42,10087.42,1,75,756556.5
76,2017-07-03,10412.79,10412.79,1,76,791372.04
77,2017-08-01,10437.29,10437.29,1,77,803671.33
78,2017-09-01,10594.82,10594.82,1,78,826395.96
79,2017-10-02,10465.16,10465.16,1,79,826747.64
80,2017-11-01,10806.36,10806.36,1,80,864508.8
81,2017-12-01,10600.37,10600.37,1,81,858629.97
82,2018-01-02,10710.73,10710.73,1,82,878279.86
83,2018-02-01,11160.25,11160.25,1,83,926300.75
84,2018-03-01,10785.79,10785.79,1,84,906006.36
85,2018-04-02,10888.27,10888.27,1,85,925502.95
86,2018-05-02,10618.81,10618.81,1,86,913217.66
87,2018-06-01,10949.08,10949.08,1,87,952569.96
88,2018-07-02,10777.94,10777.94,1,88,948458.72
89,2018-08-01,11098.13,11098.13,1,89,987733.57
90,2018-09-03,10964.22,10964.22,1,90,986779.8
91,2018-10-01,11051.8,11051.8,1,91,1005713.8
92,2018-11-01,9844.74,9844.74,1,92,905716.08
93,2018-12-03,10137.87,10137.87,1,93,942821.91
94,2019-01-02,9554.14,9554.14,1,94,898089.16
95,2019-02-11,10004.25,10004.25,1,95,950403.75
96,2019-03-04,10349.88,10349.88,1,96,993588.48
97,2019-04-01,10642.63,10642.63,1,97,1032335.11
98,2019-05-02,11004.49,11004.49,1,98,1078440.02
99,2019-06-03,10500.07,10500.07,1,99,1039506.93
100,2019-07-01,10895.46,10895.46,1,100,1089546.0
101,2019-08-01,10731.75,10731.75,1,101,1083906.75
102,2019-09-02,10634.85,10634.85,1,102,1084754.7
103,2019-10-01,10967.65,10967.65,1,103,1129667.95
104,2019-11-01,11399.53,11399.53,1,104,1185551.12
105,2019-12-02,11502.83,11502.83,1,105,1207797.15
106,2020-01-02,12100.48,12100.48,1,106,1282650.88
107,2020-02-03,11354.92,11354.92,1,107,1214976.44
108,2020-03-02,11170.46,11170.46,1,108,1206409.68
109,2020-04-01,9663.63,9663.63,1,109,1053335.67
110,2020-05-04,10720.48,10720.48,1,110,1179252.8
111,2020-06-01,11079.02,11079.02,1,111,1229771.22
112,2020-07-01,11703.42,11703.42,1,112,1310783.04
