Date,Open,High,Low,Close
2011-01-03,9039.63,9041.32,8994.5,9025.3
2011-02-08,9220.69,9220.69,9085.41,9111.46
2011-03-01,8611.79,8734.24,8611.79,8727.56
2011-04-01,8697.84,8705.13,8654.4,8705.13
2011-05-03,9014.33,9018.7,8895.25,8946.08
2011-06-01,8999.84,9089.47,8999.84,9062.35
2011-07-01,8684.39,8744.2,8659.57,8739.82
2011-08-01,8629.97,8707.87,8629.97,8701.38
2011-09-01,7799.18,7886.04,7755.55,7757.76
2011-10-03,7128.66,7128.66,6998.37,7013.97
2011-11-01,7547.24,7656.26,7505.96,7622.01
2011-12-01,7132.41,7199.26,7129.07,7178.69
2012-01-02,7071.35,7073.48,6948.67,6952.21
2012-02-01,7520.36,7566.08,7488.97,7549.21
2012-03-01,8127.57,8151.7,8103.75,8118.34
2012-04-02,7905.88,7928.43,7859.56,7862.9
2012-05-02,7511.76,7679.07,7511.76,7676.81
2012-06-01,7213.69,7218.75,7106.09,7106.09
2012-07-02,7332.09,7359.99,7318.22,7345.16
2012-08-01,7242.58,7273.62,7223.17,7267.96
2012-09-03,7430.4,7462.15,7389.68,7450.53
2012-10-01,7702.12,7707.89,7657.88,7675.72
2012-11-01,7141.97,7188.23,7050.05,7179.64
2012-12-03,7582.65,7628.29,7562.19,7599.91
2013-01-02,7738.05,7793.48,7715.26,7779.22
2013-02-01,7853.75,7866.23,7832.0,7855.97
2013-03-01,7917.72,7964.63,7917.72,7964.63
2013-04-01,7934.25,7937.73,7896.57,7899.24
2013-05-02,8111.43,8139.49,8095.7,8128.51
2013-06-03,8177.97,8225.79,8149.45,8201.02
2013-07-01,8011.95,8063.47,7974.15,8036.0
2013-08-01,8110.73,8113.4,8056.22,8056.22
2013-09-02,8010.15,8052.71,7993.13,8038.86
2013-10-01,8173.99,8222.38,8172.79,8187.02
2013-11-01,8474.47,8476.63,8378.94,8388.18
2013-12-02,8429.24,8437.13,8391.82,8414.61
2014-01-02,8618.6,8632.81,8587.54,8612.54
2014-02-05,8290.17,8313.83,8230.46,8264.48
2014-03-03,8627.15,8628.05,8545.24,8601.98
2014-04-01,8847.34,8873.15,8826.16,8873.15
2014-05-02,8846.86,8875.9,8839.92,8867.32
2014-07-01,9393.07,9463.06,9374.28,9441.92
2014-08-01,9223.75,9274.64,9201.83,9266.51
2014-09-01,9474.41,9532.66,9472.96,9513.06
2014-10-01,8958.87,9014.26,8918.96,8990.26
2014-11-03,9009.38,9029.71,8965.5,9004.86
2014-12-01,9038.41,9164.54,8998.55,9117.71
2015-01-05,9292.31,9292.31,9182.02,9274.11
2015-02-02,9368.83,9410.43,9352.19,9386.99
2015-03-02,9665.11,9690.43,9588.36,9601.36
2015-04-01,9575.11,9575.11,9503.53,9507.66
2015-05-04,9853.51,9871.65,9800.48,9845.04
2015-06-01,9688.13,9692.34,9589.09,9625.69
2015-07-01,9311.76,9404.76,9298.36,9375.23
2015-08-03,8636.53,8636.53,8482.92,8524.41
2015-09-01,8117.5,8119.9,8002.18,8017.56
2015-11-02,8571.53,8614.77,8524.01,8614.77
2015-12-01,8359.27,8463.3,8339.5,8463.3
