Date,Open,High,Low,Close
2010/1/4,8222.42,8240.45,8143.45,8207.85
2010/2/1,7653.89,7661.7,7493.81,7524.67
2010/3/1,7492.84,7620.56,7451.09,7577.75
2010/4/1,7952.62,8026.06,7952.62,8013.09
2010/5/3,7979.8,8022.45,7916.04,7952.17
2010/6/1,7327.01,7348.56,7276.52,7289.33
2010/7/1,7326.89,7327.4,7251.6,7254.06
2010/8/2,7829.19,7917.95,7829.19,7911.68
2010/9/1,7643.61,7679.43,7625.72,7668.25
2010/10/1,8259.08,8260.28,8220.73,8244.18
2010/11/1,8343.52,8407.91,8343.52,8379.75
2010/12/1,8430.6,8520.11,8428.64,8520.11
2011/1/3,9039.63,9041.32,8994.5,9025.3
2011/2/8,9220.69,9220.69,9085.41,9111.46
2011/3/1,8611.79,8734.24,8611.79,8727.56
2011/4/1,8697.84,8705.13,8654.4,8705.13
2011/5/3,9014.33,9018.7,8895.25,8946.08
2011/6/1,8999.84,9089.47,8999.84,9062.35
2011/7/1,8684.39,8744.2,8659.57,8739.82
2011/8/1,8629.97,8707.87,8629.97,8701.38
2011/9/1,7799.18,7886.04,7755.55,7757.76
2011/10/3,7128.66,7128.66,6998.37,7013.97
2011/11/1,7547.24,7656.26,7505.96,7622.01
2011/12/1,7132.41,7199.26,7129.07,7178.69
2012/1/2,7071.35,7073.48,6948.67,6952.21
2012/2/1,7520.36,7566.08,7488.97,7549.21
2012/3/1,8127.57,8151.7,8103.75,8118.34
2012/4/2,7905.88,7928.43,7859.56,7862.9
2012/5/2,7511.76,7679.07,7511.76,7676.81
2012/6/1,7213.69,7218.75,7106.09,7106.09
2012/7/2,7332.09,7359.99,7318.22,7345.16
2012/8/1,7242.58,7273.62,7223.17,7267.96
2012/9/3,7430.4,7462.15,7389.68,7450.53
2012/10/1,7702.12,7707.89,7657.88,7675.72
2012/11/1,7141.97,7188.23,7050.05,7179.64
2012/12/3,7582.65,7628.29,7562.19,7599.91
2013/1/2,7738.05,7793.48,7715.26,7779.22
2013/2/1,7853.75,7866.23,7832,7855.97
2013/3/1,7917.72,7964.63,7917.72,7964.63
2013/4/1,7934.25,7937.73,7896.57,7899.24
2013/5/2,8111.43,8139.49,8095.7,8128.51
2013/6/3,8177.97,8225.79,8149.45,8201.02
2013/7/1,8011.95,8063.47,7974.15,8036
2013/8/1,8110.73,8113.4,8056.22,8056.22
2013/9/2,8010.15,8052.71,7993.13,8038.86
2013/10/1,8173.99,8222.38,8172.79,8187.02
2013/11/1,8474.47,8476.63,8378.94,8388.18
2013/12/2,8429.24,8437.13,8391.82,8414.61
2014/1/2,8618.6,8632.81,8587.54,8612.54
2014/2/5,8290.17,8313.83,8230.46,8264.48
2014/3/3,8627.15,8628.05,8545.24,8601.98
2014/4/1,8847.34,8873.15,8826.16,8873.15
2014/5/2,8846.86,8875.9,8839.92,8867.32
2014/6/3,9106.61,9128.34,9070.45,9123.46
2014/7/1,9393.07,9463.06,9374.28,9441.92
2014/8/1,9223.75,9274.64,9201.83,9266.51
2014/9/1,9474.41,9532.66,9472.96,9513.06
2014/10/1,8958.87,9014.26,8918.96,8990.26
2014/11/3,9009.38,9029.71,8965.5,9004.86
2014/12/1,9038.41,9164.54,8998.55,9117.71
2015/1/5,9292.31,9292.31,9182.02,9274.11
2015/2/2,9368.83,9410.43,9352.19,9386.99
2015/3/2,9665.11,9690.43,9588.36,9601.36
2015/4/1,9575.11,9575.11,9503.53,9507.66
2015/5/4,9853.51,9871.65,9800.48,9845.04
2015/6/1,9688.13,9692.34,9589.09,9625.69
2015/7/1,9311.76,9404.76,9298.36,9375.23
2015/8/3,8636.53,8636.53,8482.92,8524.41
2015/9/1,8117.5,8119.9,8002.18,8017.56
2015/10/1,8194.3,8317.79,8170.78,8295.94
2015/11/2,8571.53,8614.77,8524.01,8614.77
2015/12/1,8359.27,8463.3,8339.5,8463.3
2016/1/4,8315.79,8326.33,8109.09,8114.26
2016/2/1,8164.24,8166.8,8110.87,8156.96
2016/3/1,8381.38,8489.01,8378.06,8485.69
2016/4/1,8700.38,8704.53,8628.94,8657.55
2016/5/3,8362.35,8363.59,8268.41,8294.12
2016/6/1,8516.08,8603.63,8514.12,8597.16
2016/7/1,8692.48,8755.62,8680.53,8738.24
2016/8/1,9008.74,9080.71,9008.74,9080.71
2016/9/1,9055.73,9069.13,8980.21,9001.15
2016/10/3,9219.52,9256.58,9212.38,9234.2
2016/11/1,9272.3,9289.12,9236.82,9272.7
2016/12/1,9245.55,9278.96,9241.78,9263.53
2017/1/3,9252.56,9273.65,9235.95,9272.88
2017/2/2,9502.25,9521.34,9413.77,9428.97
2017/3/1,9751.12,9758.78,9674.78,9674.78
2017/4/5,9856.44,9949.48,9856.44,9949.48
2017/5/2,9926.44,9951.14,9925.75,9941.27
2017/6/1,10064.44,10100.37,10059.93,10087.42
2017/7/3,10368.99,10412.79,10363.5,10412.79
2017/8/1,10408.53,10470.03,10408.53,10437.29
2017/9/1,10576.27,10619.52,10568.72,10594.82
2017/10/2,10425.1,10472.81,10414.53,10465.16
2017/11/1,10816.04,10843.41,10785.32,10806.36
2017/12/1,10591.62,10665.92,10495.15,10600.37
2018/1/2,10664.82,10710.73,10650.77,10710.73
2018/2/1,11139.4,11212.1,11139.4,11160.25
2018/3/1,10779.1,10805.55,10709.69,10785.79
2018/4/2,10936.26,10969.88,10882.05,10888.27
2018/5/2,10665.52,10683.9,10601.1,10618.81
2018/6/1,10882.68,10954.67,10876.97,10949.08
2018/7/2,10852.17,10886.2,10777.94,10777.94
2018/8/1,11062.36,11100.02,11058.28,11098.13
2018/9/3,11087.86,11097.11,10952.85,10964.22
2018/10/1,11014.19,11062.43,11012.95,11051.8
2018/11/1,9812.2,9869.59,9742.61,9844.74
2018/12/3,9979.21,10148.75,9979.21,10137.87
2019/1/2,9725.27,9737.68,9542.52,9554.14
2019/2/11,10029.84,10065.52,9988.83,10004.25
2019/3/4,10385.25,10402.39,10313.18,10349.88
2019/4/1,10714.68,10735.07,10627.01,10642.63
2019/5/2,10992.76,11046.64,10988.7,11004.49
2019/6/3,10482.45,10511.2,10383.51,10500.07
2019/7/1,10821.3,10914.85,10821.3,10895.46
2019/8/1,10773.06,10773.25,10714.73,10731.75
2019/9/2,10613.19,10634.85,10589.42,10634.85
2019/10/1,10855.6,10967.65,10855.6,10967.65
2019/11/1,11373.7,11399.53,11335.51,11399.53
2019/12/2,11509.94,11524.85,11454.38,11502.83
2020/1/2,12026.5,12110.74,12026.23,12100.48
2020/2/3,11365.9,11365.9,11138.03,11354.92
2020/3/2,11184.66,11282.05,11049.85,11170.46
2020/4/1,9726.2,9736,9663.63,9663.63
2020/5/4,10781.51,10781.51,10658.5,10720.48
2020/6/1,10971.4,11109.29,10971.4,11079.02
2020/7/1,11622.64,11736.39,11622.64,11703.42
2020/8/3,12642.73,12673.02,12506.59,12513.03
2020/9/1,12617.39,12703.28,12565.83,12703.28
2020/10/5,12567.88,12637.62,12519.12,12548.28
2020/11/2,12565.32,12594.34,12480.66,12591.31
2020/12/1,13810.55,13885.67,13749.71,13885.67
