月份,日期,當月股價,投入金額,買入股數,累積股數,目前持有價值
1,2011-04-01,8705.13,10000,1.15,1.15,10010.9
2,2011-05-03,8946.08,10000,1.12,2.27,20307.6
3,2011-06-01,9062.35,10000,1.1,3.37,30540.12
4,2011-07-01,8739.82,10000,1.14,4.51,39416.59
5,2011-08-01,8701.38,10000,1.15,5.66,49249.81
6,2011-09-01,7757.76,10000,1.29,6.95,53916.43
7,2011-10-03,7013.97,10000,1.43,8.38,58777.07
8,2011-11-01,7622.01,10000,1.31,9.69,73857.28
9,2011-12-01,7178.69,10000,1.39,11.08,79539.89
10,2012-01-02,6952.21,10000,1.44,12.52,87041.67
11,2012-02-01,7549.21,10000,1.32,13.84,104481.07
12,2012-03-01,8118.34,10000,1.23,15.07,122343.38
13,2012-04-02,7862.9,10000,1.27,16.34,128479.79
14,2012-05-02,7676.81,10000,1.3,17.64,135418.93
15,2012-06-01,7106.09,10000,1.41,19.05,135371.01
16,2012-07-02,7345.16,10000,1.36,20.41,149914.72
17,2012-08-01,7267.96,10000,1.38,21.79,158368.85
18,2012-09-03,7450.53,10000,1.34,23.13,172330.76
19,2012-10-01,7675.72,10000,1.3,24.43,187517.84
20,2012-11-01,7179.64,10000,1.39,25.82,185378.3
21,2012-12-03,7599.91,10000,1.32,27.14,206261.56
22,2013-01-02,7779.22,10000,1.29,28.43,221163.22
23,2013-02-01,7855.97,10000,1.27,29.7,233322.31
24,2013-03-01,7964.63,10000,1.26,30.96,246584.94
25,2013-04-01,7899.24,10000,1.27,32.23,254592.51
26,2013-05-02,8128.51,10000,1.23,33.46,271979.94
27,2013-06-03,8201.02,10000,1.22,34.68,284411.37
28,2013-07-01,8036.0,10000,1.24,35.92,288653.12
29,2013-08-01,8056.22,10000,1.24,37.16,299369.14
30,2013-09-02,8038.86,10000,1.24,38.4,308692.22
31,2013-10-01,8187.02,10000,1.22,39.62,324369.73
32,2013-11-01,8388.18,10000,1.19,40.81,342321.63
33,2013-12-02,8414.61,10000,1.19,42.0,353413.62
34,2014-01-02,8612.54,10000,1.16,43.16,371717.23
35,2014-02-05,8264.48,10000,1.21,44.37,366694.98
36,2014-03-03,8601.98,10000,1.16,45.53,391648.15
37,2014-04-01,8873.15,10000,1.13,46.66,414021.18
38,2014-05-02,8867.32,10000,1.13,47.79,423769.22
39,2014-06-03,9123.46,10000,1.1,48.89,446045.96
40,2014-07-01,9441.92,10000,1.06,49.95,471623.9
41,2014-08-01,9266.51,10000,1.08,51.03,472870.01
42,2014-09-01,9513.06,10000,1.05,52.08,495440.16
43,2014-10-01,8990.26,10000,1.11,53.19,478191.93
44,2014-11-03,9004.86,10000,1.11,54.3,488963.9
45,2014-12-01,9117.71,10000,1.1,55.4,505121.13
46,2015-01-05,9274.11,10000,1.08,56.48,523801.73
47,2015-02-02,9386.99,10000,1.07,57.55,540221.27
48,2015-03-02,9601.36,10000,1.04,58.59,562543.68
49,2015-04-01,9507.66,10000,1.05,59.64,567036.84
50,2015-05-04,9845.04,10000,1.02,60.66,597200.13
51,2015-06-01,9625.69,10000,1.04,61.7,593905.07
52,2015-07-01,9375.23,10000,1.07,62.77,588483.19
53,2015-08-03,8524.41,10000,1.17,63.94,545050.78
54,2015-09-01,8017.56,10000,1.25,65.19,522664.74
55,2015-10-01,8295.94,10000,1.21,66.4,550850.42
56,2015-11-02,8614.77,10000,1.16,67.56,582013.86
57,2015-12-01,8463.3,10000,1.18,68.74,581767.24
58,2016-01-04,8114.26,10000,1.23,69.97,567754.77
59,2016-02-01,8156.96,10000,1.23,71.2,580775.55
60,2016-03-01,8485.69,10000,1.18,72.38,614194.24
