月份,日期,當月股價,預期達到價值,投入金額,買入股數,累積股數,目前持有價值
1,2011-04-01,8705.13,10000,10000.0,1.15,1.15,10010.9
2,2011-05-03,8946.08,20000,9712.01,1.09,2.24,20039.22
3,2011-06-01,9062.35,30000,9700.34,1.07,3.31,29996.38
4,2011-07-01,8739.82,40000,11071.2,1.27,4.58,40028.38
5,2011-08-01,8701.38,50000,10147.68,1.17,5.75,50032.93
6,2011-09-01,7757.76,60000,15392.88,1.98,7.73,59967.48
7,2011-10-03,7013.97,70000,15782.01,2.25,9.98,69999.42
8,2011-11-01,7622.01,80000,3932.34,0.52,10.5,80031.1
9,2011-12-01,7178.69,90000,14623.76,2.04,12.54,90020.77
10,2012-01-02,6952.21,100000,12819.29,1.84,14.38,99972.78
11,2012-02-01,7549.21,110000,1442.36,0.19,14.57,109991.99
12,2012-03-01,8118.34,120000,1715.79,0.21,14.78,119989.07
13,2012-04-02,7862.9,130000,13786.34,1.75,16.53,129973.74
14,2012-05-02,7676.81,140000,13102.33,1.71,18.24,140025.01
15,2012-06-01,7106.09,150000,20384.92,2.87,21.11,150009.56
16,2012-07-02,7345.16,160000,4943.67,0.67,21.78,159977.58
17,2012-08-01,7267.96,170000,11703.83,1.61,23.39,169997.58
18,2012-09-03,7450.53,180000,5732.1,0.77,24.16,180004.8
19,2012-10-01,7675.72,190000,4554.6,0.59,24.75,189974.07
20,2012-11-01,7179.64,200000,22303.91,3.11,27.86,200024.77
21,2012-12-03,7599.91,210000,0.0,0.0,27.86,211733.49
22,2013-01-02,7779.22,220000,3270.93,0.42,28.28,219996.34
23,2013-02-01,7855.97,230000,7833.17,1.0,29.28,230022.8
24,2013-03-01,7964.63,240000,6795.63,0.85,30.13,239974.3
25,2013-04-01,7899.24,250000,11995.9,1.52,31.65,250010.95
26,2013-05-02,8128.51,260000,2732.66,0.34,31.99,260031.03
27,2013-06-03,8201.02,270000,7649.37,0.93,32.92,269977.58
